Model,Accuracy,Precision,Recall,F1-Score,Cohen_Kappa,ROC_AUC,Prediction_Time(s)
RF_HOG,0.6656666666666666,0.6742130535609623,0.6708849324990572,0.6700333301310524,0.5981625786931617,0.8018068654445916,0.170029878616333
RF_LBP,0.5843333333333334,0.5860562275661518,0.5861138813898,0.5842920399793577,0.5003486607380763,0.7513300799372061,0.07569503784179688
RF_EDGE,0.43633333333333335,0.4246862278817025,0.43723227731380243,0.4104085078909469,0.32230334039128195,0.6620636499420935,0.1588606834411621
RF_DL,0.915,0.9164377483505387,0.9169700792137104,0.9165781484860919,0.8978935097377558,0.9499356814730203,0.11445856094360352
MLP_DL,0.929,0.9313765833548041,0.9309529141476052,0.930749220839099,0.9147105142715737,0.9583288568018663,0.011456966400146484
